task,arm,seed,success,steps,final_state_dist,ee_dist,state_dist_success,expert_success_step,minutes
mw-reach,l2,10000,1,75,0.4127836502601325,0.0085741856368799,0,56,4.68
mw-reach,hdyn,10000,1,75,0.1341551397691121,0.0271020741946417,1,56,4.68
mw-reach,l2,10001,1,75,0.287836996248087,0.0243928058751796,1,38,4.68
mw-reach,hdyn,10001,1,75,0.1584196067687959,0.0395770844621342,1,38,4.68
mw-reach,l2,10002,1,75,0.8577210245982031,0.0158556152323051,0,49,4.68
mw-reach,hdyn,10002,1,75,0.994368046583575,0.0182028907039038,0,49,4.68
mw-reach,l2,10003,0,100,0.0152611227099711,0.0075381522552987,1,47,5.69
mw-reach,hdyn,10003,1,90,0.0606959563987822,0.0261496179512798,1,47,5.45
mw-reach,l2,10004,1,75,0.6996912624445926,0.011460168719813,0,54,4.68
mw-reach,hdyn,10004,1,60,0.9660416437353806,0.0474228861901754,0,54,3.75
mw-reach,l2,10005,1,60,0.1396830142485061,0.0239319869930521,1,44,3.74
mw-reach,hdyn,10005,1,75,0.0113379912788374,0.0087413068459992,1,44,4.68
mw-reach,l2,10006,1,90,0.3404511349139149,0.0151865345498295,0,52,5.45
mw-reach,hdyn,10006,1,75,0.9966958260926664,0.0156269469335382,0,52,4.68
mw-reach,l2,10007,1,60,0.7675845016368473,0.0179003633255908,0,54,3.74
mw-reach,hdyn,10007,1,45,0.4176103006275834,0.0450147264781202,0,54,2.81
mw-reach,l2,10008,1,75,0.0258152925416417,0.0186797343599753,1,37,4.68
mw-reach,hdyn,10008,1,45,0.0504393999510124,0.0350785411503885,1,37,2.82
mw-reach,l2,10009,1,60,0.8895656915606919,0.020706355811526703,0,47,3.76
mw-reach,hdyn,10009,1,60,0.9905774847853763,0.028434521459935937,0,47,3.75
mw-reach,l2,10010,1,60,0.21446843492005035,0.013819320616153341,1,41,3.75
mw-reach,hdyn,10010,1,75,0.030170700385111843,0.022626608656566058,1,41,4.68
mw-reach,l2,10011,1,100,0.03945113627928558,0.02751087590568053,1,51,5.69
mw-reach,hdyn,10011,1,100,0.08983325380656608,0.04891222933556347,1,51,5.69
mw-reach,l2,10012,1,45,0.1323929041477193,0.030876090196157537,1,54,2.8
mw-reach,hdyn,10012,1,45,0.04475384011311181,0.02768730007254809,1,54,2.81
mw-reach,l2,10013,1,45,0.09394379469047003,0.02927626252812055,1,50,2.8
mw-reach,hdyn,10013,1,75,0.08106706251269515,0.023427979378604503,1,50,4.68
mw-reach,l2,10014,1,100,0.05429223948884353,0.03957268055940592,1,50,5.68
mw-reach,hdyn,10014,1,45,0.5834611935363648,0.02003407683911242,0,50,2.81
mw-reach,l2,10015,1,60,0.34122538071163916,0.04661417304807647,0,48,3.74
mw-reach,hdyn,10015,1,60,0.9863210271032037,0.05792374892726862,0,48,3.74
mw-push,l2,10000,0,100,0.7673056181599667,0.07726105489990703,0,51,5.68
mw-push,hdyn,10000,0,100,0.5112438923759193,0.021814416472004133,0,51,5.69
mw-push,l2,10001,0,100,0.2998554493900334,0.017955315532381232,1,57,5.68
mw-push,hdyn,10001,0,100,0.3764027415501058,0.007803390119206651,0,57,5.69
mw-push,l2,10002,0,100,0.39283943382912645,0.05385104544015685,0,66,5.68
mw-push,hdyn,10002,0,100,0.49706980352092817,0.014544911602907225,0,66,5.69
mw-push,l2,10003,0,100,0.7452048724508746,0.011337608779001621,0,60,5.68
mw-push,hdyn,10003,0,100,0.35280594916839586,0.040472932563265625,0,60,5.69
mw-push,l2,10004,0,100,0.8174743404158986,0.02128684073824313,0,67,5.68
mw-push,hdyn,10004,0,100,0.6029876269150712,0.03212433435742556,0,67,5.69
mw-push,l2,10005,0,100,0.5155557622580592,0.036497262448453964,0,65,5.68
mw-push,hdyn,10005,0,100,0.5233588032731401,0.053832773396322725,0,65,5.69
mw-push,l2,10006,0,100,0.4789855943276716,0.04752327763009727,0,71,5.68
mw-push,hdyn,10006,0,100,0.5436327907733708,0.0344222328843465,0,71,5.69
mw-push,l2,10007,0,100,0.4904764647363819,0.06957785410568862,0,61,5.68
mw-push,hdyn,10007,0,100,0.4746654961001955,0.01098198908520063,0,61,5.69
mw-push,l2,10008,0,100,0.470000219976175,0.03263465584429682,0,55,5.68
mw-push,hdyn,10008,0,100,0.4054353087221779,0.02833297011232686,0,55,5.69
mw-push,l2,10009,0,100,0.4975284049599676,0.07105180678840212,0,68,5.68
mw-push,hdyn,10009,0,100,0.4921692407227346,0.03820885738902145,0,68,5.69
mw-push,l2,10010,0,100,0.4228240758849841,0.04265990414989738,0,60,5.68
mw-push,hdyn,10010,0,100,0.7248023593693889,0.04749867041422351,0,60,5.69
mw-push,l2,10011,0,100,1.1514896060971185,0.013316219366116058,0,57,5.69
mw-push,hdyn,10011,0,100,0.4365631584603523,0.0060514666661395594,0,57,5.69
mw-push,l2,10012,0,100,1.395516822482731,0.022139985769464056,0,56,5.69
mw-push,hdyn,10012,0,100,1.319102314514489,0.0074652534480444625,0,56,5.69
mw-push,l2,10013,0,100,0.7153388205071777,0.02155530126932265,0,55,5.69
mw-push,hdyn,10013,0,100,0.2843155380416416,0.038433875574733746,1,55,5.69
mw-push,l2,10014,0,100,0.4008604794303029,0.041427522060742704,0,64,5.69
mw-push,hdyn,10014,0,100,0.423107674826051,0.030649984898862743,0,64,5.7
mw-push,l2,10015,0,100,0.42882843668877946,0.024934823785001087,0,62,5.76
mw-push,hdyn,10015,0,100,0.46811403461290596,0.04214756833916793,0,62,5.76
mw-pick-place,l2,10000,0,100,0.5004467852940662,0.04671911694152235,0,51,5.75
mw-pick-place,hdyn,10000,0,100,0.5763056444023582,0.016458646745183225,0,51,5.76
mw-pick-place,l2,10001,0,100,0.6998609706418721,0.006456642528676131,0,47,5.75
mw-pick-place,hdyn,10001,0,100,0.40219069938459634,0.01032051442633891,0,47,5.76
mw-pick-place,l2,10002,0,100,0.7543247733474411,0.06341623238279652,0,56,5.75
mw-pick-place,hdyn,10002,0,100,0.4850232897287248,0.009036395782248475,0,56,5.76
mw-pick-place,l2,10003,0,100,0.4208081635280368,0.014218918331506023,0,53,5.75
mw-pick-place,hdyn,10003,0,100,0.506058498973945,0.008674864668203141,0,53,5.75
mw-pick-place,l2,10004,0,100,0.8209958535173775,0.07868771143902398,0,58,5.75
mw-pick-place,hdyn,10004,0,100,0.5815382702034444,0.04066811456738753,0,58,5.76
mw-pick-place,l2,10005,0,100,0.5133839489302889,0.042205262824518835,0,56,5.75
mw-pick-place,hdyn,10005,0,100,0.5200430928840613,0.03449265681426224,0,56,5.75
mw-pick-place,l2,10006,0,100,0.4833053904729399,0.04527791641361761,0,59,5.73
mw-pick-place,hdyn,10006,0,100,0.5612742633272844,0.030696459331433043,0,59,5.72
mw-pick-place,l2,10007,0,100,0.5567544770063311,0.03616362020477411,0,55,5.71
mw-pick-place,hdyn,10007,0,100,0.558982524471513,0.0309440911407354,0,55,5.71
mw-pick-place,l2,10008,0,100,0.6994978670494696,0.016841742784360444,0,46,5.7
mw-pick-place,hdyn,10008,0,100,0.40024335055751664,0.021356205711682435,0,46,5.71
mw-pick-place,l2,10009,0,100,0.7496735559990444,0.05888279481921897,0,56,5.7
mw-pick-place,hdyn,10009,0,100,0.48409007210697247,0.022470883324553423,0,56,5.71
mw-pick-place,l2,10010,0,100,0.37399302308518045,0.011114578023591585,0,50,5.7
mw-pick-place,hdyn,10010,0,100,0.2904669072924907,0.013866650175776622,1,50,5.71
mw-pick-place,l2,10011,0,100,0.8061680781238162,0.04362657390099139,0,56,5.7
mw-pick-place,hdyn,10011,0,100,0.5198355125368629,0.011458144773196646,0,56,5.71
mw-pick-place,l2,10012,0,100,0.5173289758338468,0.007538726575069842,0,60,5.7
mw-pick-place,hdyn,10012,0,100,0.5213882897089489,0.003833256505927257,0,60,5.71
mw-pick-place,l2,10013,0,100,0.3829025028519138,0.015482025442950942,0,55,5.7
mw-pick-place,hdyn,10013,0,100,0.48500983043830026,0.008586417610211262,0,55,5.71
mw-pick-place,l2,10014,0,100,0.42943715671450905,0.027683286095083366,0,55,5.7
mw-pick-place,hdyn,10014,0,100,0.5153978771374148,0.0370708051752667,0,55,5.7
mw-pick-place,l2,10015,0,100,0.5355847877540078,0.05279743798366817,0,54,5.7
mw-pick-place,hdyn,10015,0,100,0.534100240545069,0.036208427130842824,0,54,5.71
